iter	Passed	Remaining
202	245765	1570236
203	246992	1569131
204	248163	1567668
205	249349	1566303
206	250536	1564947
207	251674	1563285
208	252846	1561841
209	254040	1560537
210	255192	1558971
211	256319	1557263
212	257454	1555603
213	258658	1554369
214	259872	1553188
215	261057	1551842
216	262250	1550538
217	263535	1549781
218	264756	1548644
219	265963	1547425
220	267149	1546084
221	268318	1544645
222	269496	1543262
223	270728	1542184
224	271913	1540844
225	273106	1539548
226	274184	1537606
227	275277	1535756
228	276479	1534520
229	277755	1533691
230	278964	1532492
231	280118	1530991
232	281416	1530277
233	282680	1529371
234	283851	1527967
235	285018	1526541
236	286206	1525228
237	287519	1524579
238	288822	1523873
239	290097	1523014
240	291334	1521949
241	292533	1520692
242	293704	1519285
243	294873	1517875
244	296000	1516245
245	297174	1514863
246	298334	1513414
247	299512	1512057
248	300798	1511238
249	302043	1510215
250	303221	1508860
251	304522	1508113
252	305675	1506628
253	306876	1505383
254	308024	1503882
255	309227	1502654
256	310345	1501009
257	311585	1499958
258	312758	1498583
259	313949	1497296
260	315102	1495833
261	316251	1494348
262	317519	1493428
263	318753	1492345
264	319892	1490821
265	321092	1489577
266	322327	1488500
267	323461	1486958
268	324659	1485708
269	325786	1484136
270	326884	1482441
271	328069	1481136
272	329381	1480406
273	330540	1478989
274	331842	1478209
275	333083	1477151
276	334272	1475865
277	335447	1474519
278	336621	1473169
279	337774	1471733
280	338989	1470562
281	340173	1469258
282	341400	1468143
283	342721	1467427
284	343914	1466162
285	345020	1464528
286	346201	1463215
287	347384	1461909
288	348575	1460640
289	349832	1459646
290	351003	1458292
291	352150	1456841
292	353440	1455980
293	354682	1454923
294	355987	1454120
295	357243	1453111
296	358532	1452238
297	359712	1450921
298	360950	1449836
299	362113	1448455
300	363265	1447027
301	364446	1445716
302	365664	1444557
303	366912	1443511
304	368212	1442667
305	369475	1441679
306	370649	1440339
307	371807	1438944
308	372977	1437594
309	374147	1436245
310	375272	1434724
311	376450	1433407
312	377735	1432498
313	378882	1431065
314	380110	1429939
315	381318	1428738
316	382516	1427499
317	383690	1426171
318	384914	1425028
319	386092	1423717
320	387279	1422439
321	388514	1421336
322	389719	1420123
323	390940	1418968
324	392174	1417862
325	393436	1416855
326	394638	1415631
327	395798	1414256
328	396927	1412773
329	398145	1411605
330	399268	1410105
331	400523	1409069
332	401649	1407581
333	402823	1406264
334	404004	1404971
335	405180	1403660
336	406457	1402701
337	407623	1401356
338	408749	1399877
339	409933	1398595
340	411151	1397433
341	412483	1396655
342	413673	1395395
343	414886	1394211
344	416142	1393173
345	417408	1392166
346	418630	1391012
347	419784	1389630
348	420929	1388223
349	422117	1386956
350	423332	1385781
351	424522	1384523
352	425661	1383098
353	426853	1381848
